Trace
Swept SA
A.02.06,N9010A
78980275,-101.301139423584
78980275.5,-101.622589942458
78980276,-101.508030304542
78980276.5,-101.209573359433
78980277,-101.032797492637
78980277.5,-100.913962811766
78980278,-100.906466490324
78980278.5,-101.063530251049
78980279,-101.281887535648
78980279.5,-101.47565915392
78980280,-101.667564534186
78980280.5,-101.784956412429
78980281,-101.80556235792
78980281.5,-101.817256673533
78980282,-101.870178833339
78980282.5,-101.941488384681
78980283,-102.04632729939
78980283.5,-102.198566214207
78980284,-102.279633171355
78980284.5,-102.2356671204
78980285,-102.115055721081
78980285.5,-101.920100796646
78980286,-101.655307411199
78980286.5,-101.473205501126
78980287,-101.409778606023
78980287.5,-101.369170209873
78980288,-101.261933412441
78980288.5,-101.157697968005
78980289,-101.233177069675
78980289.5,-101.498082181384
78980290,-101.777983121994
78980290.5,-101.986003904005
78980291,-102.194821396089
78980291.5,-102.470180368547
78980292,-102.798915435134
78980292.5,-103.056065897416
78980293,-103.207085906513
78980293.5,-103.31056064797
78980294,-103.394643397647
78980294.5,-103.452955414411
78980295,-103.524108255439
78980295.5,-103.603266595952
78980296,-103.703733998779
78980296.5,-103.870015851176
78980297,-104.035426545872
78980297.5,-104.052528863606
78980298,-103.934091579587
78980298.5,-103.898177771144
78980299,-104.006174415205
78980299.5,-104.194025968992
78980300,-104.465291044442
78980300.5,-104.80725858533
78980301,-105.090019023135
78980301.5,-105.290415415842
78980302,-105.487021757094
78980302.5,-105.771277325095
78980303,-106.042697646142
78980303.5,-106.088881385095
78980304,-105.916276415777
78980304.5,-105.708433151494
78980305,-105.594633393869
78980305.5,-105.381730109158
